sensor_set,system,subject,test_windows,accuracy,baseline_precision,baseline_recall,baseline_f1,stress_precision,stress_recall,stress_f1,false_stress_alerts,missed_stress_windows,tuned_threshold,tuned_weight
ALL,SVM only,S10,67,0.9701492537313433,0.9534883720930233,1.0,0.9761904761904763,1.0,0.9230769230769231,0.9600000000000001,0,2,44.0,
ALL,Personalized baseline only,S10,67,0.9850746268656716,1.0,0.975609756097561,0.9876543209876543,0.9629629629629629,1.0,0.9811320754716981,1,0,66.0,0.0
ALL,Combined SVM + baseline,S10,67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,57.5,0.30000000000000004
ALL,SVM only,S11,67,0.9850746268656716,1.0,0.9761904761904762,0.9879518072289156,0.9615384615384616,1.0,0.9803921568627451,1,0,34.0,
ALL,Personalized baseline only,S11,67,0.9850746268656716,0.9767441860465116,1.0,0.988235294117647,1.0,0.96,0.9795918367346939,0,1,66.0,0.0
ALL,Combined SVM + baseline,S11,67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,57.5,0.30000000000000004
ALL,SVM only,S13,66,0.8484848484848485,1.0,0.7619047619047619,0.8648648648648648,0.7058823529411765,1.0,0.8275862068965517,10,0,24.5,
ALL,Personalized baseline only,S13,66,0.9848484848484849,0.9767441860465116,1.0,0.988235294117647,1.0,0.9583333333333334,0.9787234042553191,0,1,66.0,0.0
ALL,Combined SVM + baseline,S13,66,0.9545454545454546,1.0,0.9285714285714286,0.962962962962963,0.8888888888888888,1.0,0.9411764705882353,3,0,58.0,0.4
ALL,SVM only,S14,65,0.6923076923076923,0.6842105263157895,0.9512195121951219,0.7959183673469389,0.75,0.25,0.375,2,18,30.0,
ALL,Personalized baseline only,S14,65,0.9384615384615385,1.0,0.9024390243902439,0.9487179487179488,0.8571428571428571,1.0,0.923076923076923,4,0,66.0,0.0
ALL,Combined SVM + baseline,S14,65,0.7076923076923077,0.7037037037037037,0.926829268292683,0.8000000000000002,0.7272727272727273,0.3333333333333333,0.4571428571428572,3,16,54.0,0.4
ALL,SVM only,S15,66,0.7878787878787878,0.9354838709677419,0.7073170731707317,0.8055555555555556,0.6571428571428571,0.92,0.7666666666666667,12,2,20.0,
ALL,Personalized baseline only,S15,66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,66.0,0.0
ALL,Combined SVM + baseline,S15,66,0.9696969696969697,0.975609756097561,0.975609756097561,0.975609756097561,0.96,0.96,0.96,1,1,59.5,0.4
ALL,SVM only,S16,65,0.8769230769230769,1.0,0.8048780487804879,0.8918918918918919,0.75,1.0,0.8571428571428571,8,0,23.5,
ALL,Personalized baseline only,S16,65,0.9692307692307692,1.0,0.9512195121951219,0.975,0.9230769230769231,1.0,0.9600000000000001,2,0,66.0,0.0
ALL,Combined SVM + baseline,S16,65,0.9692307692307692,1.0,0.9512195121951219,0.975,0.9230769230769231,1.0,0.9600000000000001,2,0,54.0,0.2
ALL,SVM only,S17,67,0.7164179104477612,0.8055555555555556,0.7073170731707317,0.7532467532467532,0.6129032258064516,0.7307692307692307,0.6666666666666667,12,7,28.0,
ALL,Personalized baseline only,S17,67,0.9402985074626866,1.0,0.9024390243902439,0.9487179487179488,0.8666666666666667,1.0,0.9285714285714286,4,0,66.0,0.0
ALL,Combined SVM + baseline,S17,67,0.9253731343283582,1.0,0.8780487804878049,0.9350649350649352,0.8387096774193549,1.0,0.9122807017543859,5,0,53.0,0.2
ALL,SVM only,S2,63,0.9523809523809523,0.9302325581395349,1.0,0.963855421686747,1.0,0.8695652173913043,0.9302325581395349,0,3,32.0,
ALL,Personalized baseline only,S2,63,0.873015873015873,1.0,0.8,0.888888888888889,0.7419354838709677,1.0,0.8518518518518519,8,0,66.0,0.0
ALL,Combined SVM + baseline,S2,63,0.9206349206349206,1.0,0.875,0.9333333333333333,0.8214285714285714,1.0,0.9019607843137255,5,0,57.0,0.4
ALL,SVM only,S3,64,0.71875,1.0,0.55,0.7096774193548387,0.5714285714285714,1.0,0.7272727272727273,18,0,40.0,
ALL,Personalized baseline only,S3,64,0.609375,0.6415094339622641,0.85,0.7311827956989247,0.45454545454545453,0.20833333333333334,0.28571428571428575,6,19,66.0,0.0
ALL,Combined SVM + baseline,S3,64,0.640625,0.6666666666666666,0.85,0.7472527472527473,0.5384615384615384,0.2916666666666667,0.3783783783783784,6,17,66.0,0.2
ALL,SVM only,S4,64,0.984375,1.0,0.975609756097561,0.9876543209876543,0.9583333333333334,1.0,0.9787234042553191,1,0,39.0,
ALL,Personalized baseline only,S4,64,0.859375,1.0,0.7804878048780488,0.8767123287671234,0.71875,1.0,0.8363636363636363,9,0,66.0,0.0
ALL,Combined SVM + baseline,S4,64,0.875,1.0,0.8048780487804879,0.8918918918918919,0.7419354838709677,1.0,0.8518518518518519,8,0,57.5,0.30000000000000004
ALL,SVM only,S5,65,0.8153846153846154,0.875,0.8333333333333334,0.8536585365853658,0.72,0.782608695652174,0.7499999999999999,7,5,34.5,
ALL,Personalized baseline only,S5,65,0.9230769230769231,1.0,0.8809523809523809,0.9367088607594937,0.8214285714285714,1.0,0.9019607843137255,5,0,66.0,0.0
ALL,Combined SVM + baseline,S5,65,0.9230769230769231,1.0,0.8809523809523809,0.9367088607594937,0.8214285714285714,1.0,0.9019607843137255,5,0,54.0,0.2
ALL,SVM only,S6,65,0.9076923076923077,0.8888888888888888,0.975609756097561,0.9302325581395349,0.95,0.7916666666666666,0.8636363636363635,1,5,34.0,
ALL,Personalized baseline only,S6,65,0.9076923076923077,1.0,0.8536585365853658,0.9210526315789475,0.8,1.0,0.888888888888889,6,0,66.0,0.0
ALL,Combined SVM + baseline,S6,65,0.9076923076923077,1.0,0.8536585365853658,0.9210526315789475,0.8,1.0,0.888888888888889,6,0,54.5,0.2
ALL,SVM only,S7,64,0.640625,1.0,0.43902439024390244,0.6101694915254238,0.5,1.0,0.6666666666666666,23,0,36.0,
ALL,Personalized baseline only,S7,64,0.84375,0.8163265306122449,0.975609756097561,0.888888888888889,0.9333333333333333,0.6086956521739131,0.7368421052631579,1,9,67.0,0.0
ALL,Combined SVM + baseline,S7,64,0.9375,1.0,0.9024390243902439,0.9487179487179488,0.8518518518518519,1.0,0.92,4,0,59.5,0.30000000000000004
ALL,SVM only,S8,66,0.7575757575757576,0.8571428571428571,0.7317073170731707,0.7894736842105263,0.6451612903225806,0.8,0.7142857142857142,11,5,34.5,
ALL,Personalized baseline only,S8,66,0.9242424242424242,1.0,0.8780487804878049,0.9350649350649352,0.8333333333333334,1.0,0.9090909090909091,5,0,66.0,0.0
ALL,Combined SVM + baseline,S8,66,0.9848484848484849,1.0,0.975609756097561,0.9876543209876543,0.9615384615384616,1.0,0.9803921568627451,1,0,66.0,0.30000000000000004
ALL,SVM only,S9,64,0.9375,0.9111111111111111,1.0,0.9534883720930233,1.0,0.8260869565217391,0.9047619047619047,0,4,35.5,
ALL,Personalized baseline only,S9,64,0.984375,1.0,0.975609756097561,0.9876543209876543,0.9583333333333334,1.0,0.9787234042553191,1,0,66.0,0.0
ALL,Combined SVM + baseline,S9,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,57.0,0.30000000000000004
EDA_only,SVM only,S10,67,0.8955223880597015,1.0,0.8292682926829268,0.9066666666666667,0.7878787878787878,1.0,0.8813559322033898,7,0,33.5,
EDA_only,Personalized baseline only,S10,67,0.9850746268656716,1.0,0.975609756097561,0.9876543209876543,0.9629629629629629,1.0,0.9811320754716981,1,0,55.0,0.0
EDA_only,Combined SVM + baseline,S10,67,0.9850746268656716,1.0,0.975609756097561,0.9876543209876543,0.9629629629629629,1.0,0.9811320754716981,1,0,55.0,0.0
EDA_only,SVM only,S11,67,0.4925373134328358,0.7857142857142857,0.2619047619047619,0.39285714285714285,0.41509433962264153,0.88,0.5641025641025641,31,3,27.0,
EDA_only,Personalized baseline only,S11,67,0.6417910447761194,0.640625,0.9761904761904762,0.7735849056603773,0.6666666666666666,0.08,0.14285714285714285,1,23,55.0,0.0
EDA_only,Combined SVM + baseline,S11,67,0.6417910447761194,0.640625,0.9761904761904762,0.7735849056603773,0.6666666666666666,0.08,0.14285714285714285,1,23,55.0,0.0
EDA_only,SVM only,S13,66,0.3181818181818182,0.4444444444444444,0.2857142857142857,0.34782608695652173,0.23076923076923078,0.375,0.2857142857142857,30,15,26.0,
EDA_only,Personalized baseline only,S13,66,0.9696969696969697,1.0,0.9523809523809523,0.975609756097561,0.9230769230769231,1.0,0.9600000000000001,2,0,55.0,0.0
EDA_only,Combined SVM + baseline,S13,66,0.8939393939393939,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9047619047619048,0.7916666666666666,0.8444444444444444,2,5,58.5,0.2
EDA_only,SVM only,S14,65,0.6307692307692307,0.6440677966101694,0.926829268292683,0.76,0.5,0.125,0.2,3,21,19.5,
EDA_only,Personalized baseline only,S14,65,0.6307692307692307,0.6545454545454545,0.8780487804878049,0.7499999999999999,0.5,0.20833333333333334,0.29411764705882354,5,19,59.0,0.0
EDA_only,Combined SVM + baseline,S14,65,0.6307692307692307,0.6545454545454545,0.8780487804878049,0.7499999999999999,0.5,0.20833333333333334,0.29411764705882354,5,19,59.0,0.0
EDA_only,SVM only,S15,66,0.9848484848484849,1.0,0.975609756097561,0.9876543209876543,0.9615384615384616,1.0,0.9803921568627451,1,0,22.5,
EDA_only,Personalized baseline only,S15,66,0.9848484848484849,1.0,0.975609756097561,0.9876543209876543,0.9615384615384616,1.0,0.9803921568627451,1,0,55.0,0.0
EDA_only,Combined SVM + baseline,S15,66,0.9848484848484849,1.0,0.975609756097561,0.9876543209876543,0.9615384615384616,1.0,0.9803921568627451,1,0,55.0,0.0
EDA_only,SVM only,S16,65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,27.5,
EDA_only,Personalized baseline only,S16,65,0.9692307692307692,1.0,0.9512195121951219,0.975,0.9230769230769231,1.0,0.9600000000000001,2,0,55.0,0.0
EDA_only,Combined SVM + baseline,S16,65,0.9692307692307692,1.0,0.9512195121951219,0.975,0.9230769230769231,1.0,0.9600000000000001,2,0,55.0,0.0
EDA_only,SVM only,S17,67,0.23880597014925373,0.3076923076923077,0.1951219512195122,0.23880597014925378,0.1951219512195122,0.3076923076923077,0.23880597014925378,33,18,25.5,
EDA_only,Personalized baseline only,S17,67,0.6268656716417911,0.6379310344827587,0.9024390243902439,0.7474747474747474,0.5555555555555556,0.19230769230769232,0.28571428571428575,4,21,55.0,0.0
EDA_only,Combined SVM + baseline,S17,67,0.6268656716417911,0.6379310344827587,0.9024390243902439,0.7474747474747474,0.5555555555555556,0.19230769230769232,0.28571428571428575,4,21,55.0,0.0
EDA_only,SVM only,S2,63,0.8095238095238095,0.8888888888888888,0.8,0.8421052631578948,0.7037037037037037,0.8260869565217391,0.76,8,4,27.5,
EDA_only,Personalized baseline only,S2,63,0.8095238095238095,1.0,0.7,0.8235294117647058,0.6571428571428571,1.0,0.7931034482758621,12,0,55.0,0.0
EDA_only,Combined SVM + baseline,S2,63,0.8095238095238095,1.0,0.7,0.8235294117647058,0.6571428571428571,1.0,0.7931034482758621,12,0,55.0,0.0
EDA_only,SVM only,S3,64,0.53125,0.8571428571428571,0.3,0.4444444444444444,0.44,0.9166666666666666,0.5945945945945945,28,2,27.5,
EDA_only,Personalized baseline only,S3,64,0.640625,0.673469387755102,0.825,0.7415730337078652,0.5333333333333333,0.3333333333333333,0.4102564102564102,7,16,55.0,0.0
EDA_only,Combined SVM + baseline,S3,64,0.640625,0.673469387755102,0.825,0.7415730337078652,0.5333333333333333,0.3333333333333333,0.4102564102564102,7,16,55.0,0.0
EDA_only,SVM only,S4,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,26.5,
EDA_only,Personalized baseline only,S4,64,0.875,1.0,0.8048780487804879,0.8918918918918919,0.7419354838709677,1.0,0.8518518518518519,8,0,55.0,0.0
EDA_only,Combined SVM + baseline,S4,64,0.875,1.0,0.8048780487804879,0.8918918918918919,0.7419354838709677,1.0,0.8518518518518519,8,0,55.0,0.0
EDA_only,SVM only,S5,65,0.6461538461538462,0.8518518518518519,0.5476190476190477,0.6666666666666667,0.5,0.8260869565217391,0.6229508196721311,19,4,27.0,
EDA_only,Personalized baseline only,S5,65,0.8615384615384616,1.0,0.7857142857142857,0.88,0.71875,1.0,0.8363636363636363,9,0,55.0,0.0
EDA_only,Combined SVM + baseline,S5,65,0.8615384615384616,1.0,0.7857142857142857,0.88,0.71875,1.0,0.8363636363636363,9,0,55.0,0.0
EDA_only,SVM only,S6,65,0.6307692307692307,0.9047619047619048,0.4634146341463415,0.6129032258064516,0.5,0.9166666666666666,0.6470588235294118,22,2,20.5,
EDA_only,Personalized baseline only,S6,65,0.8923076923076924,1.0,0.8292682926829268,0.9066666666666667,0.7741935483870968,1.0,0.8727272727272727,7,0,55.0,0.0
EDA_only,Combined SVM + baseline,S6,65,0.8923076923076924,1.0,0.8292682926829268,0.9066666666666667,0.7741935483870968,1.0,0.8727272727272727,7,0,55.0,0.0
EDA_only,SVM only,S7,64,0.625,0.7428571428571429,0.6341463414634146,0.6842105263157895,0.4827586206896552,0.6086956521739131,0.5384615384615384,15,9,14.5,
EDA_only,Personalized baseline only,S7,64,0.984375,1.0,0.975609756097561,0.9876543209876543,0.9583333333333334,1.0,0.9787234042553191,1,0,55.0,0.0
EDA_only,Combined SVM + baseline,S7,64,0.984375,1.0,0.975609756097561,0.9876543209876543,0.9583333333333334,1.0,0.9787234042553191,1,0,55.0,0.0
EDA_only,SVM only,S8,66,0.8939393939393939,0.925,0.9024390243902439,0.9135802469135802,0.8461538461538461,0.88,0.8627450980392156,4,3,21.5,
EDA_only,Personalized baseline only,S8,66,0.9242424242424242,1.0,0.8780487804878049,0.9350649350649352,0.8333333333333334,1.0,0.9090909090909091,5,0,55.0,0.0
EDA_only,Combined SVM + baseline,S8,66,0.9242424242424242,1.0,0.8780487804878049,0.9350649350649352,0.8333333333333334,1.0,0.9090909090909091,5,0,55.0,0.0
EDA_only,SVM only,S9,64,0.890625,1.0,0.8292682926829268,0.9066666666666667,0.7666666666666667,1.0,0.8679245283018869,7,0,15.5,
EDA_only,Personalized baseline only,S9,64,0.96875,1.0,0.9512195121951219,0.975,0.92,1.0,0.9583333333333334,2,0,55.0,0.0
EDA_only,Combined SVM + baseline,S9,64,0.96875,1.0,0.9512195121951219,0.975,0.92,1.0,0.9583333333333334,2,0,55.0,0.0
BVP_only,SVM only,S10,67,0.5074626865671642,0.6052631578947368,0.5609756097560976,0.5822784810126583,0.3793103448275862,0.4230769230769231,0.4,18,15,38.5,
BVP_only,Personalized baseline only,S10,67,0.6567164179104478,0.725,0.7073170731707317,0.7160493827160495,0.5555555555555556,0.5769230769230769,0.5660377358490566,12,11,25.0,0.0
BVP_only,Combined SVM + baseline,S10,67,0.5373134328358209,0.625,0.6097560975609756,0.6172839506172839,0.4074074074074074,0.4230769230769231,0.4150943396226415,16,15,32.0,0.4
BVP_only,SVM only,S11,67,0.9552238805970149,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9583333333333334,0.92,0.9387755102040817,1,2,34.0,
BVP_only,Personalized baseline only,S11,67,0.6567164179104478,0.7878787878787878,0.6190476190476191,0.6933333333333334,0.5294117647058824,0.72,0.6101694915254237,16,7,22.0,0.0
BVP_only,Combined SVM + baseline,S11,67,0.9104477611940298,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.88,0.88,0.88,3,3,30.0,0.4
BVP_only,SVM only,S13,66,0.6666666666666666,0.8846153846153846,0.5476190476190477,0.6764705882352942,0.525,0.875,0.6562500000000001,19,3,33.0,
