sensor_set,system,mean_accuracy,mean_stress_precision,mean_stress_recall,mean_stress_f1,total_false_stress_alerts,total_missed_stress_windows,weak_subjects_under_0_70_f1
EDA_BVP_TEMP,Combined SVM + baseline,0.9286411667381816,0.8676319406434349,0.9471014492753623,0.9014058172212603,50,19,1
ALL,Personalized baseline only,0.9151927387841567,0.8581005946462935,0.9156908212560386,0.8760354355901224,52,30,1
EDA_BVP_TEMP,Personalized baseline only,0.9151927387841567,0.8581005946462935,0.9156908212560386,0.8760354355901224,52,30,1
ALL,Combined SVM + baseline,0.9143944181164331,0.8583061796825238,0.9056666666666667,0.8702688582729863,49,34,2
ALL,SVM only,0.839434655311521,0.7854926728342289,0.8595849126718692,0.7979355928835812,106,51,3
ACC_only,Combined SVM + baseline,0.8133787419048613,0.7283730667602726,0.8154069119286511,0.7500488076934041,115,68,4
EDA_only,Personalized baseline only,0.850975945696095,0.7753266254852277,0.7875982905982907,0.7476442382746193,67,79,4
BVP_only,Combined SVM + baseline,0.7843650431243715,0.6923289043458108,0.8366737272389446,0.7450284139948693,151,60,6
EDA_only,Combined SVM + baseline,0.8459254406455899,0.7741056242642265,0.7737094017094017,0.7399405345709157,67,84,4
EDA_BVP_TEMP,SVM only,0.792876320749455,0.6936947765535865,0.8159397993311036,0.7330958439491263,135,68,5
ACC_only,Personalized baseline only,0.7709670725902069,0.6413697351468249,0.8674459308807134,0.730532713687125,176,48,4
BVP_only,SVM only,0.7533844524049748,0.682261969492404,0.8280505388331476,0.7274187598378901,178,63,6
EDA_BVP,Personalized baseline only,0.8303324919276412,0.7515959508608149,0.764530657748049,0.7241736127679007,79,87,4
EDA_BVP,Combined SVM + baseline,0.8228048357805821,0.7669056003993681,0.7709037532515793,0.718970676362209,88,85,5
ACC_only,SVM only,0.7624804773032385,0.7090098468518661,0.8094678558156818,0.7126752856612953,163,70,6
EDA_BVP,SVM only,0.7208103501666935,0.6478317353232829,0.8548286882199926,0.7059807611477292,219,54,7
TEMP_only,SVM only,0.6842300461423595,0.6270221043418661,0.8938026755852843,0.6920170076145972,270,38,10
EDA_only,SVM only,0.7058617657218403,0.6219790405495004,0.7774596804162022,0.6696070874420678,208,81,8
TEMP_only,Combined SVM + baseline,0.7978615549044653,0.6241470891758248,0.7169082125603865,0.6374786482028172,94,104,6
TEMP_only,Personalized baseline only,0.7982415749673212,0.6702715862715862,0.6860193236714976,0.6260109958107374,83,115,6
BVP_only,Personalized baseline only,0.6563077797686007,0.5205776863762916,0.6876845039018952,0.5847081601099462,222,114,13
